,Average Temperature (F)
WR004-01,127.30833333333332
CASP005-01,158.52903225806452
EASP001-01,145.55940476190477
IV002-01,136.83468253968255
EASP002-01,148.755376344086
CASP006-01,147.74576923076924
CASP004-02,134.86164179104478
ASP001-01,147.71428571428572
EASP003-01,159.26666666666668
WR005-01,140.15151515151516
