item_id,original_item_id,item_name,item_description,item_sku,brand,manufacturer,material_class_i,material_class_ii,material_class_iii,certification,kit,item_weight,weight_unit,item_dimensions,dimensions_unit,item_capacity,capacity_unit
27,K3,PBAT Bin Liner 3 gallon ,3Gallon Food Scrap Bag BG-CS-3,,World Centric™,World Centric™,Biopolymer,Biopolymer Film/Bag,PBAT and corn starch,BPI,Custom,7.156666667,grams,8.75x15x0.1,inches,,milliliters
28,B,"Kraft straw 8""",,,World Centric™,World Centric™,Fiber,Unlined Fiber,Paper,BPI,Custom,1.073333333,grams,8x0.250.25,inches,,milliliters
29,A30,Multi-laminate stand-up pounch with zipper,Alter Eco Quinoa Bag,,Alter Eco,Alter Eco,Biopolymer,Biopolymer Film/Bag,Not disclosed,,Custom,9.0,grams,,inches,,milliliters
30,A31,PLA-lined Bagasse Plate,,,BÉSICS®,BÉSICS®,Fiber,Lined Fiber,PLA lined Bagasse,BPI,Custom,13.275,grams,,inches,,milliliters
31,A32,Multi-laminate stand-up pounch with zipper,Elk Packaging Bag,,Elk Packaging,Elk Packaging,Biopolymer,Biopolymer Film/Bag,Not disclosed,,Custom,3.5,grams,,inches,,milliliters
32,A33,Fiber Clamshell 9x9in,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",,World Centric™,World Centric™,Fiber,Lined Fiber,PLA-lined Mixed Fiber,BPI,Custom,47.78,grams,18x9x3,inches,,milliliters
33,C,"Fiber Spoon 6""","Fiber Cutlery, Spoon SP-FB-6-LF",,World Centric™,World Centric™,Fiber,Unlined Fiber,Mixed Fiber,BPI,Custom,3.986666667,grams,6x1.251.25,inches,,milliliters
34,A35,Multi-laminate stand-up pounch with zipper,Large natural clear colour bag,,Elk Packaging,Sun & Swell / Elk,Biopolymer,Biopolymer Film/Bag,Not disclosed,Not disclosed,Custom,8.4,grams,8’’ x 6’’ x N/A,inches,,milliliters
35,A36,PLA Cold Cup 14oz,WC 14oz PLA Cold Cup SKU CP-CS-14,CP-CS-14,World Centric™,World Centric™,Biopolymer,Rigid biopolymer,PLA,BPI,Custom,10.16666667,grams,4.52.5x4,inches,,milliliters
36,A37,Multi-laminate stand-up pounch with zipper,Printed small bag with brown background and logo,,TIPA,Sun & Swell / TIPA,Biopolymer,Biopolymer Film/Bag,Not disclosed,Not disclosed,Custom,4.566666667,grams,4 7/8’’ x 4 1/8’’ x N/A,inches,,milliliters
37,A38,Multi-laminate stand-up pounch with zipper,Small zippered clear colour bag,,Elevate Packaging,Sun & Swell / Elevate,Biopolymer,Biopolymer Film/Bag,Not disclosed,Not disclosed,Custom,4.826666667,grams,5 7/8’’ x 4 5/8’’ x N/A,inches,,milliliters
38,A39,Multi-laminate stand-up pounch with zipper,Large brown bag,,Elevate Packaging,Sun & Swell/ Elevate,Biopolymer,Biopolymer Film/Bag,Not disclosed,Not disclosed,Custom,12.72,grams,10’’ x 6.75’’ x N/A,inches,,milliliters
39,K1,"TPLA Spoon 6""",TPLA Spoon SP-PS-6,,World Centric™,World Centric™,Biopolymer,Rigid biopolymer,TPLA,BPI,Custom,4.97,grams,6x1.250.375,inches,,milliliters
40,A41,Paper Straw,Blue Paper Straw (weight of 2 straws),,Vegware,Vegware,Fiber,Unlined Fiber,Paper,BPI,Custom,1.0,grams,,inches,,milliliters
41,A42,CPLA Fork,Forks (weight of 2 forks),,Vegware,Vegware,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Custom,4.333333333,grams,,inches,,milliliters
42,A43,PLA Straw,Plastic Straw (weight of 2 straws),,Vegware,Vegware,Biopolymer,Rigid Biopolymer (< 0.75mm),PLA,BPI,Custom,1.0,grams,,inches,,milliliters
43,I,CPLA Spoon,Spoons (weight of 2 spoons) ,,Vegware,Vegware,Biopolymer,Rigid Biopolymer (> 0.75mm),CPLA,BPI,Custom,5.333333333,grams,,inches,,milliliters
44,A45,Agave Spoon,"Utensil spoon, agave",,Company C,Company C,Fiber,Unlined Fiber,Agave,BPI,Custom,3.61,grams,1x0.2x6,inches,,milliliters
