,Average % Moisture (In Field)
WR004-01,0.49000000000000005
CASP005-01,0.42500000000000004
EASP001-01,0.43916666666666665
IV002-01,0.4583333333333333
EASP002-01,0.49857142857142855
CASP006-01,0.5471768113666666
CASP004-02,0.57
ASP001-01,0.50495
EASP003-01,0.4555555555555555
WR005-01,0.5458333333333334
