obs_id,facility_id,trial_id,bag_id,item_id,trial_stage,weight1,weight2,weight3,mean_weight_final_g,%_not_decomposed,%_decomposed,bag_intact,photo_available,notes,outlier_alert
51,44547.0,44547-01-21,44547_01_21_A_3,2,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
52,44547.0,44547-01-21,44547_01_21_A_4,2,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
53,44547.0,44547-01-21,44547_01_21_A_5,2,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
54,44547.0,44547-01-21,44547_01_21_A_6,2,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
55,44547.0,44547-01-21,44547_01_21_A_1,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
56,44547.0,44547-01-21,44547_01_21_A_2,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
57,44547.0,44547-01-21,44547_01_21_A_3,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
58,44547.0,44547-01-21,44547_01_21_A_4,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
59,44547.0,44547-01-21,44547_01_21_A_5,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
60,44547.0,44547-01-21,44547_01_21_A_6,2,Start,3.58,3.58,3.56,3.57,100.0,0.0,True,True,,False
61,44547.0,44547-01-21,44547_01_21_A_1,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
62,44547.0,44547-01-21,44547_01_21_A_2,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
63,44547.0,44547-01-21,44547_01_21_A_3,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
64,44547.0,44547-01-21,44547_01_21_A_4,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
65,44547.0,44547-01-21,44547_01_21_A_5,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
66,44547.0,44547-01-21,44547_01_21_A_6,2,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
67,44547.0,44547-01-21,44547_01_21_A_1,2,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
68,44547.0,44547-01-21,44547_01_21_A_2,2,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
69,44547.0,44547-01-21,44547_01_21_A_3,2,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
70,44547.0,44547-01-21,44547_01_21_A_4,2,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
71,44547.0,44547-01-21,44547_01_21_A_5,2,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
72,44547.0,44547-01-21,44547_01_21_A_6,2,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
73,44547.0,44547-01-21,44547_01_21_A_1,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
74,44547.0,44547-01-21,44547_01_21_A_2,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
75,44547.0,44547-01-21,44547_01_21_A_3,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
76,44547.0,44547-01-21,44547_01_21_A_4,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
77,44547.0,44547-01-21,44547_01_21_A_5,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
78,44547.0,44547-01-21,44547_01_21_A_6,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
79,44547.0,44547-01-21,44547_01_21_A_1,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
80,44547.0,44547-01-21,44547_01_21_A_2,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
81,44547.0,44547-01-21,44547_01_21_A_3,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
82,44547.0,44547-01-21,44547_01_21_A_4,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
83,44547.0,44547-01-21,44547_01_21_A_5,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
84,44547.0,44547-01-21,44547_01_21_A_6,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
85,44547.0,44547-01-21,44547_01_21_A_1,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
86,44547.0,44547-01-21,44547_01_21_A_2,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
87,44547.0,44547-01-21,44547_01_21_A_3,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
88,44547.0,44547-01-21,44547_01_21_A_4,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
89,44547.0,44547-01-21,44547_01_21_A_5,3,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
90,44547.0,44547-01-21,44547_01_21_A_6,3,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
91,44547.0,44547-01-21,44547_01_21_A_1,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
92,44547.0,44547-01-21,44547_01_21_A_2,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
93,44547.0,44547-01-21,44547_01_21_A_3,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
94,44547.0,44547-01-21,44547_01_21_A_4,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
95,44547.0,44547-01-21,44547_01_21_A_5,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
96,44547.0,44547-01-21,44547_01_21_A_6,3,Start,14.58,14.58,14.58,14.58,100.0,0.0,True,True,,False
97,44547.0,44547-01-21,44547_01_21_A_1,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
98,44547.0,44547-01-21,44547_01_21_A_2,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
99,44547.0,44547-01-21,44547_01_21_A_3,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
100,44547.0,44547-01-21,44547_01_21_A_4,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
101,44547.0,44547-01-21,44547_01_21_A_5,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
102,44547.0,44547-01-21,44547_01_21_A_6,3,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
103,44547.0,44547-01-21,44547_01_21_A_1,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
104,44547.0,44547-01-21,44547_01_21_A_2,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
105,44547.0,44547-01-21,44547_01_21_A_3,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
106,44547.0,44547-01-21,44547_01_21_A_4,3,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
107,44547.0,44547-01-21,44547_01_21_A_5,3,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
108,44547.0,44547-01-21,44547_01_21_A_6,3,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
109,44547.0,44547-01-21,44547_01_21_A_1,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
110,44547.0,44547-01-21,44547_01_21_A_2,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
111,44547.0,44547-01-21,44547_01_21_A_3,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
112,44547.0,44547-01-21,44547_01_21_A_4,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
113,44547.0,44547-01-21,44547_01_21_A_5,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
114,44547.0,44547-01-21,44547_01_21_A_6,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
115,44547.0,44547-01-21,44547_01_21_A_1,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
116,44547.0,44547-01-21,44547_01_21_A_2,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
117,44547.0,44547-01-21,44547_01_21_A_3,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
118,44547.0,44547-01-21,44547_01_21_A_4,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
119,44547.0,44547-01-21,44547_01_21_A_5,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
120,44547.0,44547-01-21,44547_01_21_A_6,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
121,44547.0,44547-01-21,44547_01_21_A_1,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
122,44547.0,44547-01-21,44547_01_21_A_2,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
123,44547.0,44547-01-21,44547_01_21_A_3,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
124,44547.0,44547-01-21,44547_01_21_A_4,4,End,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
125,44547.0,44547-01-21,44547_01_21_A_5,4,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 5 not found,False
126,44547.0,44547-01-21,44547_01_21_A_6,4,End,0.0,0.0,0.0,0.0,0.0,100.0,False,False,Bag 6 not found,False
127,44547.0,44547-01-21,44547_01_21_A_1,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
128,44547.0,44547-01-21,44547_01_21_A_2,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
129,44547.0,44547-01-21,44547_01_21_A_3,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
130,44547.0,44547-01-21,44547_01_21_A_4,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
131,44547.0,44547-01-21,44547_01_21_A_5,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
132,44547.0,44547-01-21,44547_01_21_A_6,4,Start,4.75,4.75,4.75,4.75,100.0,0.0,True,True,,False
133,44547.0,44547-01-21,44547_01_21_A_1,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
134,44547.0,44547-01-21,44547_01_21_A_2,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
135,44547.0,44547-01-21,44547_01_21_A_3,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
136,44547.0,44547-01-21,44547_01_21_A_4,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
137,44547.0,44547-01-21,44547_01_21_A_5,4,Interval,0.0,0.0,0.0,0.0,0.0,100.0,True,,,False
